,Titles,Variable,Value
80,[再] 最強タンクの迷宮攻略〜体力9999のレアスキル持ちタンク、勇者パーティーを追放される〜,0,木曜 26:00 / BS12
81,君に届け 3RD SEASON,0,木曜 / Netflix
82,Terminator Zero,0,木曜 / Netflix
83,BEYBLADE X,0,金曜 18:25 / テレビ東京 他…
84,[再] 僕のヒーローアカデミア (第1期),0,金曜 18:30 / TOKYO MX
85,[再] 機動戦士ガンダム 水星の魔女,0,金曜 19:30 / BS11
86,[再] 百姓貴族,0,金曜 21:54 / TOKYO MX
87,[再] イナズマイレブン フットボールフロンティア編,0,金曜 22:00 / TOKYO MX
88,2.5次元の誘惑(リリサ),0,金曜 22:30 / TOKYO MX 他…
89,転生したらスライムだった件 第3期,0,金曜 23:00 / 日本テレビ系列全国30局ネット「FRIDAY ANIME NIGHT（フラアニ）」枠 他…
90,NieR:Automata Ver1.1a 第2クール,0,金曜 23:30 / TOKYO MX 他…
91,ばいばい、アース,0,金曜 23:30 / WOWOW 他…
92,[再] ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,0,金曜 24:00 / TOKYO MX 他…
93,異世界スーサイド・スクワッド,0,金曜 24:30 / TOKYO MX 他…
94,[再] Fate/stay night [Unlimited Blade Works],0,金曜 25:00 / BS11
95,グレンダイザーU,0,金曜 25:23 / テレビ東京 他…
96,ダンジョンの中のひと,0,金曜 25:53 / MBS 他…
97,未来の黒幕系悪役令嬢モリアーティーの異世界完全犯罪白書,0,金曜 25:56 / CBCテレビ
98,[再] 機甲創世記モスピーダ,0,金曜 26:00 / BS12
99,この世界は不完全すぎる,0,金曜 26:23 / TBS 他…
100,[再] ダイヤのA actII (第3期),0,金曜 26:30 / BSJapanext
101,こねこのチー ポンポンらー夏休み (第5期),0,金曜 / Netflix
102,貼りまわれ！こいぬ (第2期),0,土曜 7:00 / テレビ東京 他…
103,カードファイト!! ヴァンガード Divinez Season2,0,土曜 8:00 / テレビ東京系列6局ネット 他…
104,[再] オーイ！とんぼ,0,土曜 10:00 / テレビ東京系列
105,[再] 機動武闘伝Gガンダム,0,土曜 19:00 / BS11
106,〈物語〉シリーズ オフ＆モンスターシーズン,0,土曜 22:00 / ABEMA
107,モブから始まる探索英雄譚,0,土曜 22:00 / TOKYO MX 他…
108,なぜ僕の世界を誰も覚えていないのか？,0,土曜 22:30 / TOKYO MX 他…
109,[再] VAZZROCK THE ANIMATION,0,土曜 23:00 / BS日テレ
110,天穂のサクナヒメ,0,土曜 23:00 / テレビ東京 他…
111,逃げ上手の若君,0,土曜 23:30 / TOKYO MX 他…
112,烏は主を選ばない,0,土曜 23:45 / NHK総合
113,ATRI -My Dear Moments-,0,土曜 24:00 / TOKYO MX 他…
114,負けヒロインが多すぎる！,0,土曜 24:30 / TOKYO MX 他…
115,ザ・ファブル,0,土曜 24:55 / 日本テレビ 他…
116,現代誤訳,0,土曜 25:00 / TOKYO MX 他…
117,エルフさんは痩せられない。,0,土曜 25:30 / TOKYO MX 他…
118,小市民シリーズ,0,土曜 25:40 / テレビ朝日系全国24局ネット“NUMAnimation”枠 他…
119,[再] 犬になったら好きな人に拾われた。,0,土曜 25:45 / TOKYO MX 他…
120,[再] いわかける！,0,土曜 26:00 / ABCテレビ・テレビ朝日系列全国24局ネット
121,魔導具師ダリヤはうつむかない,0,土曜 27:38 / MBS 他…
122,わんだふるぷりきゅあ︕,1,・ABCテレビ・テレビ朝日系列: 2/4(日) 08:30
123,新幹線変形ロボ シンカリオン チェンジ ザ ワールド,1,・テレビ東京系列: 4/7(日) 08:30
124,杖と剣のウィストリア,1,・TBS系全国28局ネット: 7/7(日) 16:30
125,キャプテン翼シーズン2 ジュニアユース編,1,・テレビ東京系6局ネット: 10/1(日) 17:30
126,FAIRY TAIL 100年クエスト,1,・テレビ東京系列6局ネット: 7/7(日) 17:30
127,0歳児スタートダッシュ物語,1,・テレビ埼玉: 7/7(日) 17:55
128,[再] ハクション大魔王,1,・BS12: 7/14(日) 20:45
129,[再] アイドルマスター シンデレラガールズ,1,全25話放送
130,伊藤潤二 マニアック,1,・TOKYO MX: 7/7(日) 22:00
131,神之塔 -Tower of God- (第2期),1,・TOKYO MX: 7/7(日) 23:00
132,[再] 転生貴族、鑑定スキルで成り上がる,1,・BS日テレ: 7/7(日) 23:00
133,キン肉マン 完璧超人始祖編 (第3期),1,・CBC／TBS系全国28局ネット: 7/7(日) 23:30
134,しかのこのこのここしたんたん,1,・TOKYO MX: 7/7(日) 23:30
135,菜なれ花なれ,1,・テレビ東京系列: 7/7(日) 23:45
136,VTuberなんだが配信切り忘れたら伝説になってた,1,・TOKYO MX: 7/7(日) 24:30
